SCORE,DATE,D0,D1,D2,D3,D4,NA_COUNT,W0,W1,W2,W3,W4
29.4,year_621,0,0,0,0,0,0,70.6,38.1,12,0,0
8.5,year_622,0,0,0,0,0,0,91.6,78.2,63.8,48.2,32.5
12.7,year_623,0,0,0,0,0,0,87.3,19.3,0,0,0
53,year_624,47,16.3,1.3,0,0,0,0,0,0,0,0
9.6,year_625,90.4,8.2,0,0,0,0,0,0,0,0,0
1.1,year_626,98.9,23.8,0,0,0,0,0,0,0,0,0
88.8,year_627,3.3,0,0,0,0,0,7.9,0,0,0,0
0,year_628,0,0,0,0,0,0,100.1,99,86.9,26.3,0
2,year_629,0,0,0,0,0,0,98,33.5,0,0,0
0,year_630,99.9,90.2,65,6.1,0,0,0,0,0,0,0
73.2,year_631,24.2,0,0,0,0,0,2.6,0,0,0,0
65.2,year_632,0,0,0,0,0,0,34.8,21.2,10.1,1.2,0
49.1,year_633,50.9,2.1,0,0,0,0,0,0,0,0,0
20.9,year_634,79.1,40.9,0,0,0,0,0,0,0,0,0
71.4,year_635,22.1,0,0,0,0,0,6.5,0,0,0,0
0,year_636,0,0,0,0,0,0,100,100,100,86.5,68.9
10.3,year_637,0,0,0,0,0,0,89.8,69.7,39.7,0,0
91.1,year_638,8.9,3.1,0,0,0,0,0,0,0,0,0
20.8,year_639,79.2,2.4,0,0,0,0,0,0,0,0,0
4.2,year_640,95.8,90.5,44,0,0,0,0,0,0,0,0
12.8,year_641,0,0,0,0,0,0,87.2,58.3,23.8,0,0
58.8,year_642,41.3,2,0,0,0,0,0,0,0,0,0
18,year_643,82,52.6,3.2,0,0,0,0,0,0,0,0
54.5,year_644,45.5,0,0,0,0,0,0,0,0,0,0
0,year_645,99.9,99.9,94.3,86.5,30.8,0,0,0,0,0,0
0,year_646,100,100,100,89,30.1,0,0,0,0,0,0
19.6,year_647,80.4,33.9,0,0,0,0,0,0,0,0,0
39.1,year_648,60.9,0,0,0,0,0,0,0,0,0,0
45.5,year_649,2,0,0,0,0,0,52.4,21.9,0,0,0
69.8,year_650,8.8,0,0,0,0,0,21.4,0,0,0,0
0,year_651,99.9,94.7,27.5,3.7,0,0,0,0,0,0,0
85.2,year_652,14.8,0,0,0,0,0,0,0,0,0,0
77.6,year_653,17.6,3.1,0,0,0,0,4.8,0,0,0,0
98.9,year_654,0,0,0,0,0,0,1.1,0,0,0,0
1.1,year_655,0,0,0,0,0,0,98.8,37.6,3.6,0,0
5.2,year_656,0,0,0,0,0,0,94.8,69.7,23.3,1.2,0
88,year_657,9.5,0,0,0,0,0,2.5,0,0,0,0
77.4,year_658,22.6,0,0,0,0,0,0,0,0,0,0
81.3,year_659,18.7,0,0,0,0,0,0,0,0,0,0
0,year_660,100.1,95.8,88.1,53.5,0,0,0,0,0,0,0
2.3,year_661,97.7,82.4,19.9,0,0,0,0,0,0,0,0
70.7,year_662,0,0,0,0,0,0,29.3,14.9,6,2.6,0.1
11,year_663,89,62.4,4.4,0,0,0,0,0,0,0,0
0,year_664,100,99.8,85.3,12.4,0,0,0,0,0,0,0
49.3,year_665,0,0,0,0,0,0,50.7,13,0,0,0
54.4,year_666,0,0,0,0,0,0,45.6,3.2,0,0,0
27.7,year_667,0,0,0,0,0,0,72.3,56.4,31.9,0,0
96.6,year_668,0,0,0,0,0,0,3.4,0,0,0,0
6.7,year_669,93.3,0,0,0,0,0,0,0,0,0,0
100,year_670,0,0,0,0,0,0,0,0,0,0,0
58.2,year_671,0,0,0,0,0,0,41.8,16.9,0,0,0
0,year_672,0,0,0,0,0,0,100,86.5,39.8,2.2,0
13.7,year_673,0,0,0,0,0,0,86.3,77.5,58.5,35.2,10.7
54.3,year_674,0,0,0,0,0,0,45.8,1,0,0,0
66.1,year_675,0,0,0,0,0,0,33.9,4.6,0,0,0
58.1,year_676,0,0,0,0,0,0,41.9,0,0,0,0
0,year_677,100,100,98.9,47.2,4.9,0,0,0,0,0,0
0,year_678,100,94.2,43.9,0,0,0,0,0,0,0,0
7.8,year_679,0,0,0,0,0,0,92.2,38.9,0,0,0
100,year_680,0,0,0,0,0,0,0,0,0,0,0
21.2,year_681,78.8,0,0,0,0,0,0,0,0,0,0
2,year_682,0,0,0,0,0,0,98,36.4,0.2,0,0
62.6,year_683,6.4,0,0,0,0,0,31,7.8,0,0,0
30.8,year_684,0,0,0,0,0,0,69.2,49.1,28.7,8.9,2.2
41.1,year_685,4.2,0,0,0,0,0,54.6,12.4,0,0,0
0,year_686,100,98.9,52.3,0,0,0,0,0,0,0,0
27.3,year_687,71.6,2.1,0,0,0,0,1.1,0,0,0,0
